Vendor Name,Vendor ID,Vendor Email,Laptop Model Name,Laptop Model ID,Quoted Price (INR),Available Quantity,Delivery Time (Days),Specs Matching Score,Vendor Rating,Past Orders Count,Reliability Score,Persona Role
Elite Vendors,V-870,elite@systems.com,Inspiron-3161,M-3022,89790,165,10,0.81,3.7,712,0.89,Gaming
Starline Distributors,V-118,starline@supplies.com,ThinkPad-7104,M-9515,102083,156,4,0.93,4.7,676,0.86,Gaming
Carpenter PLC,V-850,carpenter@systems.com,ROG-7117,M-6566,84754,126,6,0.83,5.0,687,0.95,Office
Apex Retailers,V-127,apex@vendor.com,Pavilion-3838,M-5884,103707,113,2,0.91,4.5,119,0.95,Gaming
Zenith Suppliers,V-324,zenith@traders.com,MacBook-3828,M-1433,140272,108,6,0.85,5.0,584,0.86,Office
Taylor-Myers,V-938,taylor-myers@distributors.com,ROG-3683,M-9616,51150,159,5,0.83,4.5,944,0.87,Business
Taylor-Myers,V-938,taylor-myers@distributors.com,Pavilion-7773,M-1495,72299,118,13,0.81,4.6,828,0.97,Gaming
Taylor-Myers,V-465,taylor-myers@systems.com,ROG-1634,M-9997,146601,95,5,0.86,4.4,178,0.71,Developer
Apex Retailers,V-127,apex@vendor.com,ROG-4943,M-6812,122615,96,8,0.93,4.3,541,0.82,Office
Taylor-Myers,V-760,taylor-myers@suppliers.com,Inspiron-3161,M-3022,53748,145,7,0.99,4.0,987,0.8,Developer
Apex Retailers,V-713,apex@systems.com,Inspiron-2032,M-3807,132074,113,2,0.81,4.0,745,0.92,Office
Orion Technologies,V-260,orion@traders.com,ROG-1907,M-9430,62183,137,9,0.89,3.8,326,0.88,Office
Elite Vendors,V-870,elite@systems.com,Inspiron-2032,M-3807,149157,117,13,1.0,4.6,275,0.73,Developer
Apex Retailers,V-589,apex@distributors.com,Pavilion-1885,M-4812,147888,168,6,0.9,4.2,718,0.86,Office
NovaTech Systems,V-224,novatech@retailers.com,ROG-8282,M-3843,133763,154,7,0.86,4.7,710,0.8,Gaming
NovaTech Systems,V-224,novatech@retailers.com,ThinkPad-7104,M-9515,127505,196,13,0.89,4.0,107,0.92,Gaming
BrightTech Supplies,V-466,brighttech@traders.com,Pavilion-5933,M-4168,68141,148,14,1.0,3.9,513,0.89,Developer
Taylor-Myers,V-112,taylor-myers@retailers.com,Inspiron-6450,M-1825,74538,138,14,0.86,4.4,891,0.94,Business
Apex Retailers,V-166,apex@suppliers.com,Inspiron-2837,M-7842,121910,91,4,0.88,3.9,319,0.86,Office
Starline Distributors,V-595,starline@retailers.com,Pavilion-6310,M-3660,82635,148,12,0.9,4.7,769,0.82,Office
Apex Retailers,V-947,apex@traders.com,Pavilion-3838,M-5884,90774,178,8,1.0,4.6,237,0.78,Gaming
Taylor-Myers,V-702,taylor-myers@systems.com,Inspiron-3253,M-2006,135314,164,7,0.81,3.6,452,0.92,Gaming
Apex Retailers,V-127,apex@vendor.com,Pavilion-5933,M-4168,132798,154,9,0.89,4.8,658,0.88,Gaming
Taylor-Myers,V-112,taylor-myers@retailers.com,ROG-7117,M-6566,101990,134,12,0.92,4.3,863,0.84,Business
Carpenter PLC,V-850,carpenter@systems.com,Inspiron-4773,M-4211,67429,198,6,0.95,4.1,976,0.7,Business
Taylor-Myers,V-938,taylor-myers@distributors.com,ROG-7117,M-6566,143264,133,8,0.82,3.8,994,0.82,Office
Carpenter PLC,V-675,carpenter@systems.com,ROG-8282,M-3843,57805,183,8,0.83,3.9,318,0.73,Office
NovaTech Systems,V-224,novatech@retailers.com,ROG-7117,M-6566,102256,109,9,0.82,3.9,360,0.92,Developer
Apex Retailers,V-589,apex@distributors.com,ROG-4943,M-6812,128832,84,5,0.82,4.8,253,0.81,Developer
BrightTech Supplies,V-651,brighttech@retailers.com,Inspiron-3161,M-3022,133104,179,9,1.0,4.2,156,0.79,Office
BrightTech Supplies,V-175,brighttech@retailers.com,Inspiron-3161,M-3022,71959,88,4,0.81,3.8,525,0.71,Gaming
Carpenter PLC,V-675,carpenter@systems.com,Inspiron-3253,M-2006,115697,160,5,0.82,3.5,862,1.0,Developer
Apex Retailers,V-319,apex@systems.com,Inspiron-2032,M-3807,137538,182,4,0.98,3.9,729,0.71,Business
Galaxy Traders,V-364,galaxy@supplies.com,MacBook-3828,M-1433,71918,110,5,0.93,4.5,983,0.71,Gaming
Galaxy Traders,V-327,galaxy@systems.com,ROG-4943,M-6812,90764,156,6,0.86,3.6,886,0.73,Gaming
BrightTech Supplies,V-175,brighttech@retailers.com,ROG-8282,M-3843,104021,160,8,0.97,3.9,223,0.84,Developer
Galaxy Traders,V-755,galaxy@distributors.com,Inspiron-7389,M-7522,117563,191,9,0.94,3.8,718,0.95,Office
